risk_prompt_id,risk_library_key,risk_library_version,risk_area_key,risk_area_title,risk_area_order,risk_prompt_title,risk_prompt_guidance,risk_prompt_order,risk_prompt_is_active,risk_default_status,risk_source_reference,risk_tags
WT-RP-020,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,Schedule contingency is insufficient,"The project may have little ability to absorb delay, rework or emerging dependencies.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,contingency,resilience"
WT-RP-021,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,Progress reporting does not reflect actual delivery,"Reported progress may overstate completion or hide blocked, incomplete or unaccepted work.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,reporting,progress"
WT-RP-022,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,Key dates depend on unconfirmed assumptions,"Milestones may move if planning assumptions about approvals, resources, suppliers or environments prove incorrect.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,assumptions,dependencies"
WT-RP-023,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,Delivery sequencing is inefficient,"Work may be started in the wrong order, creating avoidable waiting, hand-offs or rework.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,sequencing,flow"
WT-RP-024,watchtower-default,1.0,schedule-milestones,Schedule and milestones,3,External deadlines are driving unsafe compression,"A fixed deadline may lead to reduced quality, skipped assurance or unrealistic delivery commitments.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"schedule,deadline,quality"
WT-RP-025,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Project costs may exceed the approved budget,"Current forecasts, commitments or emerging work may cause total costs to exceed available funding.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"finance,budget,forecast"
WT-RP-026,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Cost estimates are unreliable,"Budget decisions may be based on incomplete assumptions, poor data or insufficient estimation detail.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"finance,estimation,uncertainty"
WT-RP-027,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Benefits may not justify the investment,"Expected benefits may be overstated, delayed, unmeasured or no longer aligned with the business case.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"finance,benefits,business-case"
WT-RP-028,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Funding is not secured for the full delivery period,"The project may pause, reduce scope or incur inefficiency if future funding is uncertain.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"finance,funding,continuity"
WT-RP-029,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Commercial terms do not protect the project,"Contracts may not provide adequate clarity, incentives, remedies, responsibilities or change control.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"commercial,contracts,risk"
WT-RP-030,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Supplier costs are increasing,"Price changes, currency movements, indexation or additional supplier effort may increase total project cost.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"commercial,supplier,cost"
WT-RP-031,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Financial reporting is delayed or incomplete,"Leaders may not identify overspend, commitments or forecast variance early enough to intervene.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"finance,reporting,controls"
WT-RP-032,watchtower-default,1.0,financial-commercial,Financial and commercial,4,Procurement lead times threaten delivery,Required goods or services may not be contracted or available in time to support the plan.,8,true,draft,Watchtower Default Risk Prompt Library V1.0,"commercial,procurement,schedule"
WT-RP-033,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,Critical skills are unavailable,The project may be unable to complete specialist work because required capability is missing or constrained.,1,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,skills,capability"
WT-RP-034,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,The team does not have enough capacity,Committed work may exceed the available time and capacity of the delivery team.,2,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,capacity,planning"
WT-RP-035,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,Key-person dependency is too high,Loss or unavailability of a small number of individuals could materially disrupt delivery.,3,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,key-person,resilience"
WT-RP-036,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,Roles and responsibilities are unclear,"Work may be duplicated, delayed or missed because responsibilities and decision rights are not understood.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,roles,accountability"
WT-RP-037,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,Team turnover is affecting continuity,"Knowledge loss and onboarding demand may reduce productivity, quality or delivery confidence.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,turnover,continuity"
WT-RP-038,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,The team is experiencing sustained overload,"Excessive workload may lead to burnout, absence, reduced quality or further attrition.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,wellbeing,capacity"
WT-RP-039,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,Required training has not been completed,"Users or delivery teams may be unable to operate, support or govern the new capability effectively.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,training,readiness"
WT-RP-040,watchtower-default,1.0,people-skills-capacity,"People, skills and capacity",5,The delivery model relies on unavailable stakeholders,"Progress may depend on business, technical or governance contributors who cannot provide timely input.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"people,stakeholders,availability"
WT-RP-041,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Key stakeholders are not sufficiently engaged,"Decisions, approvals, adoption or support may be delayed because influential stakeholders are not involved.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"stakeholders,engagement,governance"
WT-RP-042,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Stakeholder expectations are not aligned,"Different groups may hold conflicting views about outcomes, timing, quality or responsibilities.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"stakeholders,expectations,alignment"
WT-RP-043,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Project communications are ineffective,"Important information may not reach the right people in a timely, clear or usable form.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"communications,stakeholders,clarity"
WT-RP-044,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,A key stakeholder opposes the proposed change,"Active resistance may delay approval, reduce adoption or undermine delivery outcomes.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"stakeholders,resistance,change"
WT-RP-045,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Decision-makers do not have enough information,Approvals may be delayed or made on weak evidence because decision packs are incomplete or unclear.,5,true,draft,Watchtower Default Risk Prompt Library V1.0,"stakeholders,decisions,information"
WT-RP-046,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Stakeholder feedback is not being incorporated,The delivered outcome may fail to meet real needs if feedback is collected but not evaluated or acted upon.,6,true,draft,Watchtower Default Risk Prompt Library V1.0,"stakeholders,feedback,requirements"
WT-RP-047,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,There is no shared understanding of project status,"Teams and leaders may make inconsistent decisions because status, risks and priorities are communicated differently.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"communications,status,alignment"
WT-RP-048,watchtower-default,1.0,stakeholders-communications,Stakeholders and communications,6,Sensitive messages may be communicated poorly,"Trust or reputation may be damaged if difficult decisions, delays or impacts are not handled carefully.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"communications,reputation,trust"
WT-RP-049,watchtower-default,1.0,technology-architecture,Technology and architecture,7,The proposed solution architecture is not proven,"Key design assumptions may fail under real operational, security, integration or scale conditions.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,architecture,assumptions"
WT-RP-050,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Legacy technology constrains the solution,"Older platforms, unsupported components or technical debt may limit delivery options or increase effort.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,legacy,technical-debt"
WT-RP-051,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Integration complexity is underestimated,"Interfaces, data contracts, sequencing or ownership may require more effort than planned.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,integration,complexity"
WT-RP-052,watchtower-default,1.0,technology-architecture,Technology and architecture,7,The solution may not scale as required,"Performance or capacity may degrade as users, data volumes or transaction demand increase.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,scalability,performance"
WT-RP-053,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Technical environments are not available when needed,"Development, test, staging or production work may be blocked by delayed or unstable environments.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,environments,schedule"
WT-RP-054,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Critical technical decisions are unresolved,Delivery may continue on unstable assumptions while key architecture or platform choices remain open.,6,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,decisions,architecture"
WT-RP-055,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Third-party technology may become unsupported,"A vendor, library, platform or component may reach end of life or lose required support.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,vendor,obsolescence"
WT-RP-056,watchtower-default,1.0,technology-architecture,Technology and architecture,7,Technical debt is being accepted without a recovery plan,"Short-term delivery choices may create material future cost, fragility or operational risk.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"technology,technical-debt,maintainability"
WT-RP-057,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Sensitive data may be accessed without authorisation,"Access controls, permissions or segregation may not adequately protect confidential or personal information.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,security,access-control"
WT-RP-058,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Personal data processing may not meet legal requirements,"The project may not adequately address lawful basis, transparency, minimisation, retention or data-subject rights.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,privacy,gdpr"
WT-RP-059,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Data quality is insufficient for the intended use,"Inaccurate, incomplete, duplicated or stale data may undermine decisions, automation or user trust.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,data-quality,operations"
WT-RP-060,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Security requirements are incomplete,Threats and required controls may be discovered late because security needs have not been fully defined.,4,true,draft,Watchtower Default Risk Prompt Library V1.0,"security,requirements,assurance"
WT-RP-061,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,A cyber incident could materially disrupt delivery,"The project may be exposed to malware, credential compromise, denial of service or other cyber threats.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"security,cyber,resilience"
WT-RP-062,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Data migration may fail or lose information,"Data may be corrupted, omitted, duplicated or incorrectly transformed during migration.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,migration,quality"
WT-RP-063,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Retention and deletion rules are unclear,"Information may be kept too long, deleted too early or handled inconsistently.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,retention,privacy"
WT-RP-064,watchtower-default,1.0,data-privacy-security,"Data, privacy and security",8,Third parties may not protect data adequately,"Suppliers or processors may introduce privacy, security, sovereignty or contractual exposure.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"data,third-party,security"
WT-RP-065,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,A critical supplier may not deliver on time,"The project may be delayed because a supplier cannot meet agreed dates, quality or capacity.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,schedule,dependency"
WT-RP-066,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Supplier performance is below expectation,"Repeated defects, missed commitments or slow response may undermine delivery confidence.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,performance,quality"
WT-RP-067,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,A critical external dependency is not controlled,"The project relies on work, approval, data or capability outside its direct authority.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"dependency,external,control"
WT-RP-068,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Dependency owners are unclear,Required actions may not be completed because accountability for the dependency is not agreed.,4,true,draft,Watchtower Default Risk Prompt Library V1.0,"dependency,ownership,accountability"
WT-RP-069,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Supplier exit or failure would disrupt delivery,"The project may not have viable alternatives, transition plans or access to required assets and knowledge.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,resilience,continuity"
WT-RP-070,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Contract changes are delaying progress,Commercial negotiation or formal variation may prevent work from starting or continuing.,6,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,contract,delay"
WT-RP-071,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Third-party lead times are longer than planned,"Hardware, licences, services, approvals or specialist resources may not arrive when required.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,lead-time,schedule"
WT-RP-072,watchtower-default,1.0,suppliers-dependencies,Suppliers and dependencies,9,Multiple suppliers are not coordinating effectively,"Gaps, overlaps or disputes between suppliers may cause integration failure or unclear accountability.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"supplier,coordination,integration"
WT-RP-073,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Testing scope is insufficient,"Important functional, non-functional, security, accessibility or operational scenarios may not be tested.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,testing,coverage"
WT-RP-074,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Defect levels are higher than expected,"The volume or severity of defects may threaten milestones, acceptance or operational stability.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,defects,delivery"
WT-RP-075,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Test environments or data are not fit for purpose,"Testing may produce unreliable results because environments, integrations or datasets do not reflect required conditions.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,testing,environments"
WT-RP-076,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Acceptance responsibility is unclear,"Outputs may remain unapproved because the correct approver, evidence or acceptance process is not defined.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,acceptance,governance"
WT-RP-077,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Quality controls are being reduced to meet dates,"Schedule pressure may lead to skipped reviews, incomplete testing or acceptance of avoidable defects.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,schedule,assurance"
WT-RP-078,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Non-functional performance is not validated,"The solution may fail under expected load, resilience, usability or recovery conditions.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,performance,non-functional"
WT-RP-079,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,Known defects do not have an agreed treatment,"Unresolved defects may enter production without clear acceptance, mitigation or ownership.",7,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,defects,risk-acceptance"
WT-RP-080,watchtower-default,1.0,quality-testing-acceptance,"Quality, testing and acceptance",10,User acceptance testing is not representative,"Testing may not reflect real user roles, workflows, data or operating conditions.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"quality,uat,users"
WT-RP-081,watchtower-default,1.0,change-adoption,Change and adoption,11,Users may not adopt the new capability,"Expected benefits may not be realised if users continue with existing tools, workarounds or behaviours.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,adoption,benefits"
WT-RP-082,watchtower-default,1.0,change-adoption,Change and adoption,11,The change impact is not understood,"Teams may be unprepared for changes to roles, processes, controls, skills or workload.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,impact,readiness"
WT-RP-083,watchtower-default,1.0,change-adoption,Change and adoption,11,Change communications are starting too late,"Users may not understand why the change is happening, what it means or what action they need to take.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,communications,engagement"
WT-RP-084,watchtower-default,1.0,change-adoption,Change and adoption,11,Training is insufficient for affected users,"Users may make errors, avoid the capability or require excessive support after launch.",4,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,training,readiness"
WT-RP-085,watchtower-default,1.0,change-adoption,Change and adoption,11,Business readiness is not being measured,"The project may go live without evidence that people, process, support and governance are prepared.",5,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,business-readiness,assurance"
WT-RP-086,watchtower-default,1.0,change-adoption,Change and adoption,11,Local teams are creating inconsistent workarounds,"Different adoption approaches may undermine standardisation, data quality or control.",6,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,workarounds,consistency"
WT-RP-087,watchtower-default,1.0,change-adoption,Change and adoption,11,Benefits ownership is unclear,Expected outcomes may not be tracked or sustained because no one is accountable for realisation.,7,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,benefits,ownership"
WT-RP-088,watchtower-default,1.0,change-adoption,Change and adoption,11,Leadership sponsorship is weakening,"Loss of visible support may reduce urgency, participation, funding or confidence in the change.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"change,sponsorship,leadership"
WT-RP-089,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Operational ownership is not confirmed,"The delivered capability may not have a clearly accountable team to operate, support or improve it.",1,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,ownership,transition"
WT-RP-090,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Support arrangements are incomplete,"Users may not receive timely help because support routes, service levels, tools or responsibilities are unclear.",2,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,support,readiness"
WT-RP-091,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Cutover planning is incomplete,"Go-live may fail or cause disruption because tasks, sequencing, decisions and rollback arrangements are not fully defined.",3,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,cutover,go-live"
WT-RP-092,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Business continuity arrangements are inadequate,The organisation may be unable to maintain critical services if the new capability fails.,4,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,continuity,resilience"
WT-RP-093,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Operational procedures are not documented,Teams may operate inconsistently or rely on individual knowledge after transition.,5,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,procedures,knowledge"
WT-RP-094,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Monitoring and alerting are insufficient,Operational problems may not be detected or acted upon quickly after deployment.,6,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,monitoring,support"
WT-RP-095,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,A rollback or recovery approach is not viable,The project may be unable to restore service safely if implementation fails.,7,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,rollback,recovery"
WT-RP-096,watchtower-default,1.0,operational-readiness-transition,Operational readiness and transition,12,Post-implementation review and improvement are not planned,"Lessons, defects and benefit gaps may remain unresolved after launch.",8,true,draft,Watchtower Default Risk Prompt Library V1.0,"operations,review,continuous-improvement"
